# test	iteration	seed	build_mode	reason
chip_sw_usbdev_vbus	0	1416072354	default	missing57
chip_sw_usbdev_dpi	0	1604866935	default	missing57
chip_sw_usbdev_pullup	0	2933670142	default	missing57
chip_sw_usbdev_aon_pullup	0	427331849	default	missing57
chip_sw_usbdev_config_host	0	3909768046	default	missing57
chip_sw_usbdev_pincfg	0	2114590495	default	missing57
chip_sw_usbdev_stream	0	1530793253	default	missing57
chip_sw_usbdev_toggle_restore	0	3684278753	default	missing57
chip_sw_lc_ctrl_test_locked0_to_scrap	0	4069782452	default	missing57
chip_sw_coremark	0	945441043	default	missing57
chip_sw_pwrmgr_sleep_wake_5_bug	0	4163871218	default	missing57
chip_sw_usb_ast_clk_calib	0	1281171258	default	missing57
rom_e2e_boot_policy_valid_a_good_b_good_test_unlocked0	0	4175711347	default	missing57
rom_e2e_boot_policy_valid_a_good_b_good_dev	0	109766304	default	missing57
rom_e2e_boot_policy_valid_a_good_b_good_prod	0	586372141	default	missing57
rom_e2e_boot_policy_valid_a_good_b_good_prod_end	0	1566463818	default	missing57
rom_e2e_boot_policy_valid_a_good_b_good_rma	0	2479603266	default	missing57
rom_e2e_boot_policy_valid_a_good_b_bad_test_unlocked0	0	2472618097	default	missing57
rom_e2e_boot_policy_valid_a_good_b_bad_dev	0	2479666519	default	missing57
rom_e2e_boot_policy_valid_a_good_b_bad_prod	0	3304965848	default	missing57
rom_e2e_boot_policy_valid_a_good_b_bad_prod_end	0	2468014895	default	missing57
rom_e2e_boot_policy_valid_a_good_b_bad_rma	0	2721184310	default	missing57
rom_e2e_boot_policy_valid_a_bad_b_good_test_unlocked0	0	2072157873	default	missing57
rom_e2e_boot_policy_valid_a_bad_b_good_dev	0	2363751924	default	missing57
rom_e2e_boot_policy_valid_a_bad_b_good_prod	0	71519538	default	missing57
rom_e2e_boot_policy_valid_a_bad_b_good_prod_end	0	3566197738	default	missing57
rom_e2e_boot_policy_valid_a_bad_b_good_rma	0	150595659	default	missing57
rom_e2e_sigverify_always_a_bad_b_bad_test_unlocked0	0	1996983587	default	missing57
rom_e2e_sigverify_always_a_bad_b_bad_dev	0	4167275048	default	missing57
rom_e2e_sigverify_always_a_bad_b_bad_prod	0	2990173676	default	missing57
rom_e2e_sigverify_always_a_bad_b_bad_prod_end	0	2304147479	default	missing57
rom_e2e_sigverify_always_a_bad_b_bad_rma	0	2421747061	default	missing57
rom_e2e_sigverify_always_a_bad_b_nothing_test_unlocked0	0	221198272	default	missing57
rom_e2e_sigverify_always_a_bad_b_nothing_dev	0	1564008970	default	missing57
rom_e2e_sigverify_always_a_bad_b_nothing_prod	0	232252543	default	missing57
rom_e2e_sigverify_always_a_bad_b_nothing_prod_end	0	1388752385	default	missing57
rom_e2e_sigverify_always_a_bad_b_nothing_rma	0	1192776203	default	missing57
rom_e2e_sigverify_always_a_nothing_b_bad_test_unlocked0	0	3270487144	default	missing57
rom_e2e_sigverify_always_a_nothing_b_bad_dev	0	1448212165	default	missing57
rom_e2e_sigverify_always_a_nothing_b_bad_prod	0	3485083253	default	missing57
rom_e2e_sigverify_always_a_nothing_b_bad_prod_end	0	1082644031	default	missing57
rom_e2e_sigverify_always_a_nothing_b_bad_rma	0	3217891799	default	missing57
rom_e2e_self_hash	0	4097102489	default	missing57
chip_sw_sleep_pin_mio_dio_val	1	171438270	default	missing57
chip_sw_flash_ctrl_idle_low_power	1	2458282934	default	missing57
chip_sw_aes_enc_jitter_en	1	937830730	default	missing57
chip_sw_hmac_enc_jitter_en	1	4099995420	default	missing57
chip_sw_kmac_mode_kmac_jitter_en	1	2780824626	default	missing57
chip_sw_pwrmgr_sleep_wake_5_bug	1	1356027329	default	missing57
rom_e2e_self_hash	1	437406381	default	missing57
chip_sw_sleep_pin_mio_dio_val	2	2863095203	default	missing57
chip_sw_flash_ctrl_idle_low_power	2	3934164388	default	missing57
chip_sw_aes_enc_jitter_en	2	2777370726	default	missing57
chip_sw_hmac_enc_jitter_en	2	2864721525	default	missing57
chip_sw_kmac_mode_kmac_jitter_en	2	1580658183	default	missing57
chip_sw_pwrmgr_sleep_wake_5_bug	2	3745112987	default	missing57
rom_e2e_self_hash	2	2130824176	default	missing57
