# test	iteration	seed	build_mode	reason
chip_csr_hw_reset	0	2383951415	cover_reg_top	known-private-xcelium-pass-no-wave-baseline
chip_sw_example_flash	0	1703197117	default	sw-build-and-chip-run-calibration
chip_csr_bit_bash	0	4104540892	cover_reg_top	csr-baseline
chip_csr_aliasing	0	1439538917	cover_reg_top	csr-aliasing-baseline
chip_sw_uart_tx_rx_bootstrap	0	1870864236	default	arcilator-frontier-uart-bootstrap
chip_sw_sleep_pin_mio_dio_val	0	2821194506	default	arcilator-frontier-sleep-pin
rom_e2e_self_hash	0	4097102489	default	arcilator-frontier-rom-self-hash
chip_sw_aes_enc_jitter_en	0	3548151917	default	arcilator-frontier-aes-jitter
chip_sw_hmac_enc_jitter_en	0	2812503231	default	crypto-jitter-hmac
chip_sw_kmac_mode_kmac_jitter_en	0	3134260468	default	crypto-jitter-kmac
chip_sw_flash_ctrl_idle_low_power	1	2458282934	default	flash-low-power-frontier
chip_sw_pwrmgr_sleep_wake_5_bug	0	4163871218	default	pwrmgr-frontier
chip_sw_usbdev_vbus	0	1416072354	default	usbdev-vbus-frontier
chip_sw_aes_smoketest	0	496551014	default	subsystem-smoke-aes
chip_sw_hmac_smoketest	0	1059543169	default	subsystem-smoke-hmac
chip_sw_kmac_smoketest	0	1207640287	default	subsystem-smoke-kmac
chip_sw_entropy_src_smoketest	0	3808755933	default	subsystem-smoke-entropy
chip_sw_csrng_smoketest	0	1087491903	default	subsystem-smoke-csrng
chip_sw_otbn_smoketest	0	4268499018	default	subsystem-smoke-otbn
chip_sw_pwrmgr_smoketest	0	1162437680	default	subsystem-smoke-pwrmgr
chip_sw_uart_smoketest	0	3790122612	default	subsystem-smoke-uart
chip_sw_spi_host_tx_rx	0	1646158311	default	subsystem-smoke-spi-host
chip_sw_i2c_host_tx_rx	0	1290396333	default	subsystem-smoke-i2c-host
chip_sw_sram_ctrl_smoketest	0	1408602364	default	subsystem-smoke-sram
chip_sw_flash_scrambling_smoketest	0	4229577786	default	subsystem-smoke-flash
chip_sw_gpio_smoketest	0	124085998	default	subsystem-smoke-gpio
chip_sw_rv_timer_smoketest	0	3515183468	default	subsystem-smoke-rv-timer
chip_sw_rv_plic_smoketest	0	501867057	default	subsystem-smoke-rv-plic
chip_sw_otp_ctrl_smoketest	0	195284139	default	subsystem-smoke-otp
rom_e2e_smoke	0	2738790627	default	rom-smoke
chip_sw_lc_ctrl_transition	0	1797339222	default	lifecycle-transition
chip_sw_usbdev_dpi	0	1604866935	default	usbdev-dpi
chip_sw_usbdev_stream	0	1530793253	default	usbdev-stream
chip_sw_pwrmgr_usbdev_smoketest	0	2449864244	default	pwrmgr-usb-smoke
rom_e2e_boot_policy_valid_a_good_b_good_dev	0	109766304	default	rom-boot-policy-dev
rom_e2e_boot_policy_valid_a_good_b_bad_dev	0	2479666519	default	rom-boot-policy-negative-dev
